Pan I.D.,t,price,brand,feature,choice
1,1,0.108,1,0,0
1,2,0.108,1,0,0
1,3,0.108,1,0,0
1,4,0.108,1,0,0
1,5,0.125,1,0,0
1,6,0.108,1,0,0
1,7,0.103,1,0,0
1,8,0.108,1,0,0
2,1,0.108,1,0,1
2,2,0.108,1,0,1
2,3,0.108,1,0,1
2,4,0.108,1,0,1
2,5,0.108,1,0,0
2,6,0.108,1,0,0
2,7,0.108,1,0,0
2,8,0.108,1,0,0
2,9,0.108,1,0,0
2,10,0.108,1,0,0
2,11,0.108,1,0,0
2,12,0.108,1,0,0
2,13,0.108,1,0,0
2,14,0.108,1,0,0
2,15,0.108,1,0,0
2,16,0.108,1,0,0
2,17,0.112,1,0,0
2,18,0.112,1,0,0
2,19,0.112,1,0,0
2,20,0.108,1,0,0
3,1,0.11,1,0,0
3,2,0.103,1,0,0
3,3,0.103,1,0,0
3,4,0.032000002,1,0,1
3,5,0.108,1,0,1
3,6,0.108,1,0,1
3,7,0.055,1,0,1
3,8,0.082999997,1,0,1
3,9,0.082999997,1,0,1
3,10,0.115,1,0,1
3,11,0.032000002,1,0,1
3,12,0.115,1,0,0
3,13,0.115,1,0,0
3,14,0.115,1,0,0
3,15,0.041999999,1,0,0
4,1,0.11,1,0,0
4,2,0.11,1,0,0
4,3,0.13500001,1,0,0
4,4,0.13500001,1,0,0
4,5,0.11,1,0,0
4,6,0.11,1,0,0
4,7,0.103,1,0,0
4,8,0.108,1,0,0
4,9,0.112,1,0,0
4,10,0.025,1,0,1
4,11,0.057999998,1,0,1
4,12,0.057999998,1,0,1
4,13,0.115,1,0,0
4,14,0.11,1,0,0
5,1,0.103,1,0,1
5,2,0.103,1,0,1
5,3,0.103,1,0,1
5,4,0.108,1,0,0
5,5,0.108,1,0,0
5,6,0.108,1,0,0
5,7,0.108,1,0,1
5,8,0.108,1,0,1
5,9,0.108,1,0,0
5,10,0.108,1,0,0
5,11,0.108,1,0,0
5,12,0.108,1,0,0
5,13,0.122,1,0,0
5,14,0.125,1,0,1
6,1,0.115,1,0,0
6,2,0.115,1,0,0
6,3,0.108,1,0,0
6,4,0.108,1,0,0
6,5,0.115,1,0,0
6,6,0.115,1,0,0
6,7,0.115,1,0,0
6,8,0.115,1,0,0
6,9,0.115,1,0,0
6,10,0.115,1,0,0
6,11,0.112,1,0,1
6,12,0.112,1,0,1
6,13,0.122,1,0,1
6,14,0.122,1,0,1
6,15,0.122,1,0,1
6,16,0.122,1,0,1
6,17,0.122,1,0,1
6,18,0.122,1,0,1
6,19,0.122,1,0,1
7,1,0.11,1,0,0
7,2,0.11,1,0,0
7,3,0.103,1,0,0
7,4,0.103,1,0,0
7,5,0.103,1,0,0
7,6,0.103,1,0,0
7,7,0.125,1,0,0
7,8,0.125,1,0,0
7,9,0.02,1,0,1
7,10,0.103,1,0,0
7,11,0.103,1,0,0
7,12,0.108,1,0,1
7,13,0.108,1,0,1
7,14,0.108,1,0,0
7,15,0.108,1,0,0
7,16,0.108,1,0,0
7,17,0.108,1,0,1
7,18,0.115,1,0,0
7,19,0.108,1,0,0
7,20,0.108,1,0,1
7,21,0.108,1,0,1
8,1,0.103,1,0,0
8,2,0.103,1,0,0
8,3,0.103,1,0,0
8,4,0.103,1,0,0
8,5,0.125,1,0,0
8,6,0.125,1,0,0
8,7,0.103,1,0,0
8,8,0.103,1,0,0
8,9,0.103,1,0,0
8,10,0.103,1,0,0
8,11,0.125,1,0,0
8,12,0.108,1,0,0
8,13,0.103,1,0,0
8,14,0.103,1,0,0
8,15,0.103,1,0,0
8,16,0.103,1,0,0
8,17,0.103,1,0,0
8,18,0.103,1,0,0
8,19,0.108,1,0,0
8,20,0.122,1,0,0
8,21,0.108,1,0,0
8,22,0.055,1,0,0
8,23,0.055,1,0,0
8,24,0.108,1,0,0
8,25,0.088,1,0,0
9,1,0.115,1,0,0
9,2,0.115,1,0,0
9,3,0.115,1,0,0
9,4,0.115,1,0,0
9,5,0.108,1,0,0
9,6,0.108,1,0,0
9,7,0.115,1,0,0
9,8,0.115,1,0,1
9,9,0.108,1,0,0
9,10,0.115,1,0,1
9,11,0.115,1,0,1
9,12,0.108,1,0,1
9,13,0.108,1,0,1
9,14,0.108,1,0,1
9,15,0.022,1,0,1
9,16,0.122,1,0,1
9,17,0.122,1,0,1
9,18,0.122,1,0,1
9,19,0.122,1,0,1
9,20,0.122,1,0,0
9,21,0.122,1,0,1
9,22,0.122,1,0,1
9,23,0.122,1,0,1
9,24,0.122,1,0,1
9,25,0.122,1,0,1
9,26,0.122,1,0,1
9,27,0.122,1,0,1
